"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"129",22.7,0.00257718120805369,"bistable",45.79,12.29,0,0.29,0.17,0.11,0.68,0.25,0,1409.05,608.47,160.08,0.05,0.49,0.69
"130",1e+06,0.00257718120805369,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.08,NA,NA,7.72
"131",22.7,0.00261744966442953,"bistable",44.84,12.87,0,0.29,0.17,0.11,0.67,0.26,0,1389.75,626.12,160.04,0.06,0.48,0.69
"132",1e+06,0.00261744966442953,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.04,NA,NA,7.72
"133",22.7,0.00265771812080537,"bistable",43.91,13.49,0,0.29,0.17,0.11,0.66,0.27,0,1370.55,644.3,160.01,0.06,0.47,0.69
"134",1e+06,0.00265771812080537,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.01,NA,NA,7.72
"135",22.7,0.00269798657718121,"bistable",42.98,14.13,0,0.28,0.18,0.11,0.65,0.28,0,1351.38,663.1,159.98,0.06,0.45,0.69
"136",1e+06,0.00269798657718121,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.98,NA,NA,7.72
"137",22.7,0.00273825503355705,"bistable",42.05,14.8,0,0.28,0.18,0.11,0.64,0.29,0,1332.16,682.57,159.95,0.06,0.44,0.69
"138",1e+06,0.00273825503355705,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.95,NA,NA,7.72
"139",22.7,0.00277852348993289,"bistable",41.12,15.51,0,0.28,0.18,0.11,0.63,0.31,0,1312.8,702.82,159.92,0.07,0.43,0.69
"140",1e+06,0.00277852348993289,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.92,NA,NA,7.72
"141",22.7,0.00281879194630873,"bistable",40.19,16.26,0,0.28,0.19,0.11,0.62,0.32,0,1293.16,723.97,159.88,0.07,0.41,0.69
"142",1e+06,0.00281879194630873,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.88,NA,NA,7.72
"143",22.7,0.00285906040268456,"bistable",39.24,17.06,0,0.27,0.19,0.11,0.61,0.33,0,1273.09,746.17,159.85,0.08,0.4,0.69
"144",1e+06,0.00285906040268456,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.85,NA,NA,7.72
"145",22.7,0.0028993288590604,"bistable",38.27,17.92,0,0.27,0.19,0.11,0.6,0.34,0,1252.36,769.64,159.82,0.08,0.38,0.69
"146",1e+06,0.0028993288590604,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.82,NA,NA,7.72
"147",22.7,0.00293959731543624,"bistable",37.26,18.85,0,0.27,0.2,0.11,0.59,0.36,0,1230.66,794.7,159.79,0.09,0.36,0.69
"148",1e+06,0.00293959731543624,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.79,NA,NA,7.72
"149",22.7,0.00297986577181208,"bistable",36.19,19.88,0,0.26,0.2,0.11,0.58,0.37,0,1207.51,821.84,159.76,0.1,0.34,0.69
"150",1e+06,0.00297986577181208,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.76,NA,NA,7.72
"151",22.7,0.00302013422818792,"bistable",35.03,21.04,0,0.26,0.21,0.11,0.56,0.39,0,1182.06,851.89,159.72,0.11,0.32,0.69
"152",1e+06,0.00302013422818792,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.72,NA,NA,7.72
"153",22.7,0.00306040268456376,"bistable",33.7,22.4,0,0.25,0.21,0.11,0.55,0.41,0,1152.69,886.5,159.69,0.12,0.3,0.69
"154",1e+06,0.00306040268456376,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.69,NA,NA,7.72
"155",22.7,0.0031006711409396,"bistable",32.02,24.14,0,0.25,0.22,0.11,0.53,0.43,0,1115.07,929.98,159.66,0.14,0.26,0.69
"156",1e+06,0.0031006711409396,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.66,NA,NA,7.72
"157",22.7,0.00314093959731544,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.63,NA,NA,0.69
"158",1e+06,0.00314093959731544,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.63,NA,NA,7.72
"159",22.7,0.00318120805369128,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.6,NA,NA,0.69
"160",1e+06,0.00318120805369128,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.6,NA,NA,7.72
"161",22.7,0.00322147651006711,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.57,NA,NA,0.69
"162",1e+06,0.00322147651006711,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.57,NA,NA,7.72
"163",22.7,0.00326174496644295,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.53,NA,NA,0.69
"164",1e+06,0.00326174496644295,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.53,NA,NA,7.72
"165",22.7,0.00330201342281879,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.5,NA,NA,0.69
